,PMID,abstract
240,31893965,The purpose of this study was to develop a body volume (
241,31895709,We sought to determine whether postoperative chemotherapy after preoperative therapy and pancreatectomy for pancreatic ductal adenocarcinoma (PDAC) prolongs survival.
242,31897996,"Despite the association of physical activity with improved cardiovascular outcomes and the association of high coronary artery calcification (CAC) scores with poor prognosis, elite endurance athletes have increased CAC. Yet, they nevertheless have better cardiovascular survival. We hypothesized that exercise may transform vascular calcium deposits to a more stable morphology."
243,31898004,"Hybrid PET/MR imaging has significant potential in cardiology due to its combination of molecular PET imaging and cardiac MR. Multi-tissue-class MR-based attenuation correction (MRAC) is necessary for accurate PET quantification. Moreover, for thoracic PET imaging, respiration is known to lead to misalignments of MRAC and PET data that result in PET artifacts. These factors can be addressed by using multi-echo MR for tissue segmentation and motion-robust or motion-gated acquisitions. However, the combination of these strategies is not routinely available and can be prone to errors. In this study, we examine the qualitative and quantitative impacts of multi-class MRAC compared to a more widely available simple two-class MRAC for cardiac PET/MR."
244,31905028,"Cerebellar slump is a rarely reported complication of craniocervical decompression for Chiari malformation. This is known to occur following an oversized bony decompression of the cranio-vertebral junction. The index case is the first reported which developed this phenomenon following cerebellar hemispheric haematoma removal. Disturbance of CSF circulation in the presence of a calvarial defect may have been the cause. The patient was treated with a titanium mesh cranioplasty of the posterior cranial defect, followed by a ventriculo-peritoneal shunt."
245,31914889,"Construction workers regularly experience heavy workloads and various physical stressors that can result in work-related musculoskeletal disorders (WRMSDs). According to the Bureau of Labor Statistics, construction glass and glazing (CGG) workers had a higher rate of injuries and illnesses than the national average for all occupations. In 2010, CGG contractors presented the highest rate of back injuries reported by the Center for Construction Research and Training. This study aimed to develop a detailed job description that includes the CGG definition, tasks, activities and work conditions. A qualitative case study was conducted, and data were collected through CGG workers' interviews and observations. This information is not currently available in government publications, published research or job training materials for CGG workers and contractors. The results of this study can help facilitate the ergonomics analysis in future studies to eliminate or reduce the risk of WRMSDs in CGG work."
246,31918578,Online electronic records such as patient portals and personally controlled electronic health records (PEHRs) have been widely viewed as a key component to modernising the delivery of healthcare but the uptake of such systems has been slow.
247,31928787,"The prevalence of self-immolation is significantly higher in some Middle Eastern and Central Asian Islamic countries than in Western countries. Self-immolation typically occurs among females and can be either an attempt at suicide or an act of protest. This systematic review examined the drivers and consequences of self-immolation in Asian Islamic countries from the perspective of those affected by it, including survivors, family and health care staff in order to understand its higher prevalence in these countries."
248,31961647,"Biologically inspired structural color hydrogels with magnetic- and photothermal-controlled self-healable abilities were fabricated by integrating magnetic-responsive photonic crystals into gelatin hydrogels. The self-healable ability of the hydrogel systems was derived from the magnetic response and light-absorbing abilities of the magnetic nanoparticles. When the hydrogels deteriorate or get damaged, magnetic nanoparticles could absorb heat under near-infrared irradiation and external magnetic fields, which stimulates phase transformation in the hydrogels to fill or heal the hydrogels. In addition, the hydrogel systems were demonstrated with high biocompatibility and plasticity. These features of magnetic self-healable structural color hydrogels make them have broad application prospects in the fields of biological engineering and cell engineering."
249,31971019,"Under-coding of dementia during hospitalisation results in an inability to identify all patients with dementia using hospital administrative data. Clinical coding can be viewed as a proxy for management; therefore, under-coding indicates dementia was not considered in the patient's management. While under-coding of dementia is well established, there is sparse evidence on whether dementia is coded in subsequent hospitalisations among patients with a known diagnosis."
250,31949051,"Negative checkpoint regulators (NCRs) temper the T cell immune response to self-antigens and limit the development of autoimmunity. Unlike all other NCRs that are expressed on activated T lymphocytes, V-type immunoglobulin domain-containing suppressor of T cell activation (VISTA) is expressed on naïve T cells. We report an unexpected heterogeneity within the naïve T cell compartment in mice, where loss of VISTA disrupted the major quiescent naïve T cell subset and enhanced self-reactivity. Agonistic VISTA engagement increased T cell tolerance by promoting antigen-induced peripheral T cell deletion. Although a critical player in naïve T cell homeostasis, the ability of VISTA to restrain naïve T cell responses was lost under inflammatory conditions. VISTA is therefore a distinctive NCR of naïve T cells that is critical for steady-state maintenance of quiescence and peripheral tolerance."
251,31972598,"Cannabis (marijuana, weed, pot, ganja, Mary Jane) is the most commonly used federally illicit drug in the United States. The present review provides an overview of cannabis and cannabinoids with relevance to the practice of nephrology so that clinicians can best take care of patients."
252,31972638,"The aim of this study was to determine the health utility states of the most commonly used traumatic brain injury (TBI) clinical trial endpoint, the Extended Glasgow Outcome Scale (GOSE)."
253,31981016,"This paper describes a pilot study of a new model for narrative medicine training, ""community-based participatory narrative medicine"" (CBPNM), which centers on shared narrative work between healthcare trainees and patients. Nine medical students and eight patients participated in one of two, five-week-long pilot workshop series. A case study of participants' experiences of the workshop series identified three major themes: (1) the reciprocal and collaborative nature of participants' relationships; (2) the interplay between self-reflection and receiving feedback from others; and (3) the clinical and pedagogical implications of the CBPNM model. Principles and proposed outcomes of the CBPNM model are presented."
254,31995749,"Regulatory T cells (Tregs) express high levels of cell surface lymphotoxin alpha beta (LTα1β2) to activate the LT beta receptor (LTβR) on the lymphatic endothelial cells (LECs), modulating LEC adhesion molecules, intercellular junctions, and chemokines. We demonstrate a role for Tregs through this pathway to condition the permissiveness of lymphatic endothelia for transendothelial migration (TEM), thus gating leukocyte traffic. Human Tregs share the same property with murine Tregs. Activation of TLR2 on Tregs during inflammation specifically augments LTα1β2-LTβR signaling, which further enhances the permissiveness of LECs to facilitate TEM. The conditioning of endothelia may promote the resolution of inflammation by directing leukocytes out of tissues to lymphatic vessels and draining lymph nodes (dLNs). Thus, Tregs interact with lymphatic endothelia under homeostasis and inflammation and dictate endothelial permissiveness and gating mechanisms for subsequent leukocyte migration through endothelial barriers."
255,32001774,"We report a detailed study of a cohort of sporadic Creutzfeldt-Jakob disease (sCJD) VV1-2 type-mixed cases (valine homozygosity at codon 129 of the prion protein, PrP, gene harboring disease-related PrP, PrP"
256,32005626,"Active acromegaly is characterized by Growth Hormone and Insulin-like Growth Factor (IGF)-1 excess. Voice complaints are common in active acromegaly and are suggested to be caused by effects of Growth Hormone or IGF-1 on vocal folds and the surrounding soft tissues. Prospective studies on the course of voice characteristics in acromegaly patients are scarce and results are conflicting. This study investigates objective changes in voice parameters, self-reported perception of voice and laryngostroboscopic features during the first 2.5 years of acromegaly treatment."
257,32005674,"Epidemiological studies of underground miners have provided clear evidence that inhalation of radon decay products causes lung cancer. Moreover, these studies have served as a quantitative basis for estimation of radon-associated excess lung cancer risk. However, questions remain regarding the effects of exposure to the low levels of radon decay products typically encountered in contemporary occupational and environmental settings on the risk of lung cancer and other diseases, and on the modifiers of these associations. These issues are of central importance for estimation of risks associated with residential and occupational radon exposures."
258,32008105,Bladder-sparing trimodality therapy (TMT) has become an accepted alternative to cystectomy for selected muscle invasive bladder cancer (MIBC) patients unfit for cystectomy or opting for bladder preservation. This review will summarize recent advances in TMT for MIBC.
259,32019973,"The kinetics/dynamics of signaling are of increasing value for G-protein-coupled receptor therapeutic development, including spatiotemporal signaling and the kinetic context of biased agonism. Effective application of signaling kinetics to developing new therapeutics requires reliable kinetic assays and an analysis framework to extract kinetic pharmacological parameters. Here we describe a platform for measuring arrestin recruitment kinetics to GPCRs using a high quantum yield, genetically encoded fluorescent biosensor, and a data analysis framework to quantify the recruitment kinetics. The sensor enabled high temporal resolution measurement of arrestin recruitment to the angiotensin AT"
260,32039533,"The Lyme disease bacterium Borrelia burgdorferi has 7-11 periplasmic flagella (PF) that arise from the cell poles and extend toward the midcell as a flat-ribbon, which is distinct from other bacteria. FlhF, a signal recognition particle (SRP)-like GTPase, has been found to regulate the flagellar number and polarity; however, its role in B. burgdorferi remains unknown. B. burgdorferi has an FlhF homolog (BB0270). Structural and biochemical analyses show that BB0270 has a similar structure and enzymatic activity as its counterparts from other bacteria. Genetics and cryo-electron tomography studies reveal that deletion of BB0270 leads to mutant cells that have less PF (4 ± 2 PF per cell tip) and fail to form a flat-ribbon, indicative of a role of BB0270 in the control of PF number and configuration. Mechanistically, we demonstrate that BB0270 localizes at the cell poles and controls the number and position of PF via regulating the flagellar protein stability and the polar localization of the MS-ring protein FliF. Our study not only provides the detailed characterizations of BB0270 and its profound impacts on flagellar assembly, morphology and motility in B. burgdorferi, but also unveils mechanistic insights into how spirochetes control their unique flagellar patterns."
261,32041937,Psoriasis is a relapsing inflammatory disease exacerbated by many triggers. Helicobacter pylori (H. pylori) is a Gram-negative bacterium causing the liberation of many cytokines and having a role in systemic inflammation. We assessed over a period of 12 months the presence of H. pylori in psoriatic patients undergoing biologic therapy and how PASI improved after its eradication.
262,32047870,"To establish short- and long-term adverse outcome frequencies related to a late diagnosis of congenital adrenal hyperplasia (CAH) in the absence of newborn screening (NBS) and to determine respective treatment costs, which have never been reported."
263,32057217,"Atopic dermatitis is a chronic, relapsing, inflammatory disease. Data concerning the role of perinatal conditions in the development of the disease are few and inconsistent. The purpose of this study was to investigate the effects of skin care on the severity of the disease, also to evaluate the relations of perinatal conditions with disease development and severity."
264,32068050,"Even with the addition of dermoscopy, a significant morphologic overlap exists between irritated seborrheic keratosis (ISK) and squamous cell carcinoma (SCC)."
265,32068308,"Kir4.1, a glial-specific inwardly rectifying potassium channel, is implicated in astrocytic maintenance of K"
266,32078387,"The adult mammalian heart has limited regenerative capacity, mostly attributable to postnatal cardiomyocyte cell cycle arrest. In the last 2 decades, numerous studies have explored cardiomyocyte cell cycle regulatory mechanisms to enhance myocardial regeneration after myocardial infarction. Pkm2 (Pyruvate kinase muscle isoenzyme 2) is an isoenzyme of the glycolytic enzyme pyruvate kinase. The role of Pkm2 in cardiomyocyte proliferation, heart development, and cardiac regeneration is unknown."
267,32089104,"The main aim of this research was to measure workers' perceptions of the four crucial success factors (commitment to safety, safety communication, the safety climate and learning from incidents) for Zero Accident Vision (ZAV) implementation by conducting a survey using a questionnaire given to four production plants in the Serbian military industrial complex. Almost 500 respondents participated in this survey with a response rate of over 90%. A possible influence of ethical leadership at work (ELW) and organizational commitment (OC) on ZAV enforcement was also examined. The reliability and validity of all of the measuring instruments were found to be acceptable. ELW was found to have a strong influence on ZAV implementation, whereas OC was found to have the mediating role in this relationship."
268,32083321,"Subfertility is a condition found in up to 15% of couples of reproductive age. Gamete micromanipulation, such as intracytoplasmic sperm injection (ICSI), is very useful for treating couples with compromised sperm parameters. An alternative method of sperm selection has been described; the spermatozoa are selected under high magnification (over 6000x) and used for ICSI. This technique, named intracytoplasmic morphologically selected sperm injection (IMSI), has a theoretical potential to improve reproductive outcomes among couples undergoing assisted reproduction techniques (ART). However, our previous version of this Cochrane Review was unable to find evidence that supported this possible beneficial effect. This is an update of Teixeira 2013."
269,32080251,"During implantation, cytotrophoblasts undergo epithelial-to-mesenchymal transition (EMT) as they differentiate into invasive extravillous trophoblasts (EVTs). The primate-specific microRNA cluster on chromosome 19 (C19MC) is exclusively expressed in the placenta, embryonic stem cells and certain cancers however, its role in EMT gene regulation is unknown. In situ hybridization for miR-517a/c, a C19MC cistron microRNA, in first trimester human placentas displayed strong expression in villous trophoblasts and a gradual decrease from proximal to distal cell columns as cytotrophoblasts differentiate into invasive EVTs. To investigate the role of C19MC in the regulation of EMT genes, we employed the CRISPR/dCas9 Synergistic Activation Mediator (SAM) system, which induced robust transcriptional activation of the entire C19MC cistron and resulted in suppression of EMT associated genes. Exposure of human iPSCs to hypoxia or differentiation of iPSCs into either cytotrophoblast-stem-like cells or EVT-like cells under hypoxia reduced C19MC expression and increased EMT genes. Furthermore, transcriptional activation of the C19MC cistron induced the expression of OCT4 and FGF4 and accelerated cellular reprogramming. This study establishes the CRISPR/dCas9 SAM as a powerful tool that enables activation of the entire C19MC cistron and uncovers its novel role in suppressing EMT genes critical for maintaining the epithelial cytotrophoblasts stem cell phenotype."
270,32094231,"Photoreceptors have high energy demands and a high density of mitochondria that produce ATP through oxidative phosphorylation (OXPHOS) of fuel substrates. Although glucose is the major fuel for CNS brain neurons, in photoreceptors (also CNS), most glucose is not metabolized through OXPHOS but is instead metabolized into lactate by aerobic glycolysis. The major fuel sources for photoreceptor mitochondria remained unclear for almost six decades. Similar to other tissues (like heart and skeletal muscle) with high metabolic rates, photoreceptors were recently found to metabolize fatty acids (palmitate) through OXPHOS. Disruption of lipid entry into photoreceptors leads to extracellular lipid accumulation, suppressed glucose transporter expression, and a duel lipid/glucose fuel shortage. Modulation of lipid metabolism helps restore photoreceptor function. However, further elucidation of the types of lipids used as retinal energy sources, the metabolic interaction with other fuel pathways, as well as the cross-talk among retinal cells to provide energy to photoreceptors is not fully understood. In this review, we will focus on the current understanding of photoreceptor energy demand and sources, and potential future investigations of photoreceptor metabolism."
271,32109634,A subset of patients with Crohn's disease (CD) do not respond to ustekinumab at the standard dose of 90 mg every 8 weeks. Little is known about the efficacy of shortening the interval between doses.
272,32129054,Some authors have hypothesized that the initial kinetics of the primary melanoma (MM) growth could reflect its biologic aggressiveness. The aim of this study was to pilot a measure of the horizontal vs. vertical growth of superficial spreading melanomas (SSM).
273,32117306,"Graft-versus-host disease (GvHD) remains a significant complication of allogeneic hematopoietic cell transplantation (HCT), associated with significant morbidity and mortality. GvHD is characterized by dysregulated immune responses and resulting tissue damage of target organs. Recent investigations have focused on Foxp3"
274,32146037,"To evaluate the laryngeal electromyography findings of bilateral thyroarytenoid muscles in 10 patients with chronic, intractable coughing."
275,32147389,"Pigmented labial macules (PLMs) are clinical, dermoscopic, and histopathologic challenges."
276,32152393,Human exposure to particulate matter and other environmental species is difficult to estimate in large populations. Individuals can encounter significant and acute variations in exposure over small spatiotemporal scales. Exposure is strongly tied to both the environmental and activity contexts that individuals experience. Here we present the development of an agent-based model to simulate human exposure at high spatiotemporal resolutions. The model is based on simulated activity and location trajectories on a per-person basis for large geographical areas. We demonstrate that the model can successfully estimate trajectories and that activity patterns have been validated against traffic patterns and that can be integrated with exposure-agent geographical distributions to estimate total human exposure.
277,32157997,"Spirochete bacteria, including important pathogens, exhibit a distinctive means of swimming via undulations of the entire cell. Motility is powered by the rotation of supercoiled 'endoflagella' that wrap around the cell body, confined within the periplasmic space. To investigate the structural basis of flagellar supercoiling, which is critical for motility, we determined the structure of native flagellar filaments from the spirochete "
278,32163046,"Skin diseases are very common among people living in poor countries. Although many of these pathologies might not be fatal, some can have a great impact on the patient, impairing their ability to work or worsening his/her relationship with the community. Understanding the epidemiology of skin diseases in these areas, determining the prevalence of different disorders, is fundamental to develop better educational and preventative programs."
279,32171641,"""Irritable larynx syndrome"" (ILS) often refers to a constellation of laryngeal-based symptoms including chronic cough (CC), diurnal dyspnea, and dysphonia. In patients with OSA, we examined: (1) the frequency, severity, comorbidity, risks and triggers of each problem, (2) whether these symptoms were compatible with stereotypic ILS and (3) the role of CPAP in their expression."
280,32165708,"Breast cancer (BC) is a common cancer in women worldwide. Despite advances in treatment, up to 30% of women eventually relapse and die of metastatic breast cancer. Liquid biopsy analysis of circulating cell-free DNA fragments in the patients' blood can monitor clonality and evolving mutations as a surrogate for tumour biopsy. Next generation sequencing platforms and digital droplet PCR can be used to profile circulating tumour DNA from liquid biopsies; however, they are expensive and time consuming for clinical use. Here, we report a novel strategy with proof-of-concept data that supports the usage of loop-mediated isothermal amplification (LAMP) to detect PIK3CA c.3140 A > G (H1047R), a prevalent BC missense mutation that is attributed to BC tumour growth. Allele-specific primers were designed and optimized to detect the p.H1047R variant following the USS-sbLAMP method. The assay was developed with synthetic DNA templates and validated with DNA from two breast cancer cell-lines and two patient tumour tissue samples through a qPCR instrument and finally piloted on an ISFET enabled microchip. This work sets a foundation for BC mutational profiling on a Lab-on-Chip device, to help the early detection of patient relapse and to monitor efficacy of systemic therapies for personalised cancer patient management."
281,32173148,"Exposure to cigarette smoke has significant effects on the respiratory mucosa. However, little is known about the effects of household smoke exposure on children's voice-related quality of life. The aim of this study was to elucidate the effect of parental smoking (PS) on voice-related quality of life in the pediatric population."
282,32178916,"The interaction between muscle tension, posture, and vocal use is very complex as clinical research suggests that abnormal laryngeal posture can be associated with muscle adaptive changes, although specific evidence concerning body posture and voice disorders has been lacking. Thus, the aim of this study was to verify if there were differences in posture, muscle tension and voice between teachers with and without voice complaints."
283,32184054,Cepstral measures are sensitive to slightest deviance in voice quality. Vocal fatigue is an initial symptom of a voice disorder. This study aimed (1) to assess the correlation of vocal fatigue and cepstral measures and (2) to identify a measure for analyzing voice change due to vocal fatigue in individuals with hyperfunctional voice disorders.
284,32199895,A spectrum of skin disease severity exists in patients with recessive dystrophic epidermolysis bullosa (RDEB).
285,32201237,"Voice change after thyroid surgery is common despite preservation of laryngeal nerves. In this study, we sought to find if the change in voice after total thyroidectomy is related to the weight and volume of the removed thyroid gland."
286,32204948,"Within palliative care, clear and open communication about death is encouraged. Euphemisms are discouraged as threats to promoting clear understanding of the prognosis; to opening communication about what a good death means to individual patients and families; and to fostering collaborative planning aimed at achieving this 'good death'. Principles of patient-centred and culturally competent care, however, which reflect trends of individualisation, plurality and multiculturalism that are characteristic of late modernity, encourage respect for and support of patients' and families' preferences. These may include wishes to avoid open communication, preferences for euphemisms, and definitions of a 'good death' that vary from the practitioner's, and within families. The aim of this study was to examine how physicians navigate these competing priorities. Analysis is based on interviews with 23 doctors, ranging in experience from medical students through to senior palliative care specialists, and eight recorded observations of palliative care multidisciplinary team meetings with 52 clinicians collected in 2017 at two hospitals in one Australian metropolitan area. Findings show that synonyms familiar to clinicians are often used to communicate prognoses in multidisciplinary meetings. In communication with patients and families, doctors rely on emotional and cultural cues to decipher the preferred terminology and response. Drawing on a late modern re-imagination of emotion management, we conceptualise the work performed in this context as emotionally reflexive labour. These findings suggest that blanket protocols for direct communication overlook the complexity of end-of-life communication in an era where a 'good death' is understood to be culturally relative."
287,32202508,"Ovarian cancer is one of the most malignant tumors of the female reproductive system, with high invasiveness. The disease is a severe threat to women's health. The ITGA2 gene, which codes for integrin subunit α2, is involved in the proliferation, invasion, and metastasis of cancer cells. Although previous studies have shown that ITGA2 increases in ovarian cancer, the specific molecular mechanism of how ITGA2 promotes ovarian cancer proliferation and metastasis is still unclear. In this study, we confirmed that ITGA2 was elevated in ovarian cancer, which led to poor prognosis and survival. Overexpressed ITGA2 promoted the proliferation of ovarian cancer cells. We also found that ITGA2 regulated the phosphorylation of forkhead box O1 (FoxO1) by mediating AKT phosphorylation, which provided a reasonable explanation for ITGA2's role in ovarian cancer's resistance to albumin paclitaxel. In summary, ITGA2 could be used as a new therapeutic target and prognostic indicator in ovarian cancer."
288,32205030,To analyze the range of values of the contact pressure between the membranous vocal folds with Reinke's edema and to compare it to those observed in the absence of such a lesion.
289,32209278,To present evidence of the reliability and validity in the Spectrographic Vocal Assessment Protocol.
290,32201880,"Substantial advances have been made recently in the pathobiology of pituitary tumors. Similar to many other endocrine tumors, over the last few years we have recognized the role of germline and somatic mutations in a number of syndromic or nonsyndromic conditions with pituitary tumor predisposition. These include the identification of novel germline variants in patients with familial or simplex pituitary tumors and establishment of novel somatic variants identified through next generation sequencing. Advanced techniques have allowed the exploration of epigenetic mechanisms mediated through DNA methylation, histone modifications and noncoding RNAs, such as microRNA, long noncoding RNAs and circular RNAs. These mechanisms can influence tumor formation, growth, and invasion. While genetic and epigenetic mechanisms often disrupt similar pathways, such as cell cycle regulation, in pituitary tumors there is little overlap between genes altered by germline, somatic, and epigenetic mechanisms. The interplay between these complex mechanisms driving tumorigenesis are best studied in the emerging multiomics studies. Here, we summarize insights from the recent developments in the regulation of pituitary tumorigenesis."
291,32218430,Controversy exists regarding whether the different daily balances of proteins between meals and snacks in a low-calorie diet may influence the effects on body composition (BC) results. Aim of this study is to evaluate BC changes made by a lifestyle intervention in a randomized homogeneous sample of two groups with equal daily caloric reduction but different protein distributions between meals.
292,32221274,The incidence of cutaneous melanoma (cM) has increased in the last decades. Germline mutations in the high-penetrance melanoma susceptibility gene CDKN2A (Cyclin-dependent kinase inhibitor 2A) are associated with a younger age at diagnosis and an increased risk to develop pancreatic cancer.
293,32214098,"Biofilm formation by Vibrio cholerae facilitates environmental persistence, and hyperinfectivity within the host. Biofilm formation is regulated by 3',5'-cyclic diguanylate (c-di-GMP) and requires production of the type IV mannose-sensitive hemagglutinin (MSHA) pilus. Here, we show that the MSHA pilus is a dynamic extendable and retractable system, and its activity is directly controlled by c-di-GMP. The interaction between c-di-GMP and the ATPase MshE promotes pilus extension, whereas low levels of c-di-GMP correlate with enhanced retraction. Loss of retraction facilitated by the ATPase PilT increases near-surface roaming motility, and impairs initial surface attachment. However, prolonged retraction upon surface attachment results in reduced MSHA-mediated surface anchoring and increased levels of detachment. Our results indicate that c-di-GMP directly controls MshE activity, thus regulating MSHA pilus extension and retraction dynamics, and modulating V. cholerae surface attachment and colonization."
294,32222463,"A new human coronavirus (HCoV), which has been designated SARS-CoV-2, began spreading in December 2019 in Wuhan City, China causing pneumonia called COVID-19. The spread of SARS-CoV-2 has been faster than any other coronaviruses that have succeeded in crossing the animal-human barrier. There is concern that this new virus will spread around the world as did the previous two HCoVs-Severe Acute Respiratory Syndrome (SARS) and Middle East Respiratory Syndrome (MERS)-each of which caused approximately 800 deaths in the years 2002 and 2012, respectively. Thus far, 11,268 deaths have been reported from the 258,842 confirmed infections in 168 countries."
295,32223440,Emergency departments (EDs) play an important role in health systems since they are the front line for patients with emergency medical conditions who frequently require diagnostic tests and timely treatment.
296,32225141,"The Dot/Icm secretion system of Legionella pneumophila is a complex type IV secretion system (T4SS) nanomachine that localizes at the bacterial pole and mediates the delivery of protein and DNA substrates to target cells, a process generally requiring direct cell-to-cell contact. We have recently solved the structure of the Dot/Icm apparatus by cryo-electron tomography (cryo-ET) and showed that it forms a cell envelope-spanning channel that connects to a cytoplasmic complex. Applying two complementary approaches that preserve the native structure of the specimen, fluorescent microscopy in living cells and cryo-ET, allows in situ visualization of proteins and assimilation of the stoichiometry and timing of production of each machine component relative to other Dot/Icm subunits. To investigate the requirements for polar positioning and to characterize dynamic features associated with T4SS machine biogenesis, we have fused a gene encoding superfolder green fluorescent protein to Dot/Icm ATPase genes at their native positions on the chromosome. The following method integrates quantitative fluorescence microscopy of living cells and cryo-ET to quantify polar localization, dynamics, and structure of these proteins in intact bacterial cells. Applying these approaches for studying the Legionella pneumophila T4SS is useful for characterizing the function of the Dot/Icm system and can be adapted to study a wide variety of bacterial pathogens that utilize the T4SS or other types of bacterial secretion complexes."
297,32234360,"Uniform evaluation of treatment effect on the quality of voice in adductor spasmodic dysphonia (AdSD) is challenging due to the broad variety of available outcome measurement instruments (OMIs). The European Laryngological Society categorized five types of measurement domains for voice quality evaluations: patient-reported outcome measures, perceptual analyses, acoustic analyses, visual analyses, and aerodynamic measurements. The aim of this study was to propose a core outcome set (COS) for these domains, enabling systematic assessments of treatment effects on the quality of voice in patients with AdSD."
298,32241100,There has been a paucity of data about the therapeutic efficacy of bronchoalveolar lavage (BAL) for pediatric refractory mycoplasma pneumonia pneumonia (RMPP) complicated with atelectasis. This study aimed to evaluate the clinical effectiveness and safety of BAL in pediatric RMPP inpatients complicated with atelectasis.
299,32241102,"We conducted a retrospective analysis of cases of sudden unexpected infant death (SUID) referred to the SIDS-ALTE Center of the Liguria Region (Italy) from 2010 to 2018. In all cases, the death scene was inspected, and a multidisciplinary post-mortem evaluation was conducted. Our aim was to analyze the epidemiological data and etiological distribution."
300,32241103,"Since its diffusion in the 1990s, the Internet has developed into a fully integrated component of the lives of teenagers across the globe. As use of the Internet by underage youth has evolved and increased over the past decades, concerns about how technology may contribute to minors becoming victims of online sex crimes, including online grooming, have heightened. The present literature review contributes to the existing knowledge base regarding the epidemiology of the online grooming process, exploring key themes and issues arising in this area."
301,32244022,"Although the clinical hair changes that occur under treatment with epidermal growth factor receptor inhibitors (EGFRIs) are documented, their trichoscopic features have not been reported."
302,32245570,"Electrical burns are an uncommon yet devastating class of burn injuries. Shriners Hospitals for Children - Boston a pediatric burn center in New England and cares for both domestic and international patients. We utilized our experience over the past 13 years to review surgical management and evaluate historical trends for this unique patient group. A retrospective chart review was conducted on 68 patients aged 0-18 years admitted to our pediatric center with an electrical burn from January 2005 to December 2018. We collected and analyzed data pertaining to patient demographics, burn characteristics, clinical course, and surgical interventions. Our cohort included 31 patients from the US (46%) and 37 transferred from a variety of international countries (54%). The majority of US patients were admitted with low voltage burns (81%), whereas the majority of international patients were admitted with high voltage burns (95%). Acute and reconstructive surgical interventions were performed mainly for high voltage burns (94% and 89%). Based on our experience, epidemiology and surgical intervention varied based on voltage of the burn injury and residence of the patient. We have seen a reduction in US pediatric high voltage injuries over the past two decades, likely due to enhancement of electrical safety. It may be possible to use a similar strategy to reduce the frequency of severe high voltage electrical burn injuries in developing countries."
303,32245662,"The study addresses the benefit of tuning single harmonics with vocal tract resonances to increase vocal loudness. The loudness of theoretically constructed vocal sounds with variable levels of sound energy in the first, second, and third harmonics is computed on the basis of ISO standard 226:2003. In comparison to increased loudness with changes in overall spectral slope, it is shown that single harmonic tuning requires a greater range of SPL to produce a similar range of loudness. For example, a 10-40 dB increase in the level of a single harmonic produces less than two doublings of loudness, whereas a spectral slope change from -12 dB/octave to -3 dB/octave can produce a similar doubling of loudness with only a 5 dB SPL increase."
304,32245663,"The relevance of formant-based measures has been noted across a spectrum of medical, technical, and linguistic applications. Therefore, the primary aim of the study was to evaluate the effect of ageing on vowel articulation, as the previous research revealed contradictory findings. The secondary aim was to provide normative acoustic data for all Czech monophthongs."
305,32247544,What are the normative data available on the perceptual and acoustic characteristics of the voice of adults of both sexes who have hearing-impairment and who use cochlear implants?
306,32253078,"Unilateral vocal fold paralysis (UVFP) often leads to significant morbidity that may include dysphonia, swallowing problems and aspiration. The best timing for medialization procedures is still controversial. Published data suggest that early intracordal injection positively affects long-term outcomes."
307,32255769,"Immunosuppressive donor Tregs can prevent graft-versus-host disease (GVHD) or solid-organ allograft rejection. We previously demonstrated that inhibiting STAT3 phosphorylation (pSTAT3) augments FOXP3 expression, stabilizing induced Tregs (iTregs). Here we report that human pSTAT3-inhibited iTregs prevent human skin graft rejection and xenogeneic GVHD yet spare donor antileukemia immunity. pSTAT3-inhibited iTregs express increased levels of skin-homing cutaneous lymphocyte-associated antigen, immunosuppressive GARP and PD-1, and IL-9 that supports tolerizing mast cells. Further, pSTAT3-inhibited iTregs significantly reduced alloreactive conventional T cells, Th1, and Th17 cells implicated in GVHD and tissue rejection and impaired infiltration by pathogenic Th2 cells. Mechanistically, pSTAT3 inhibition of iTregs provoked a shift in metabolism from oxidative phosphorylation (OxPhos) to glycolysis and reduced electron transport chain activity. Strikingly, cotreatment with coenzyme Q10 restored OxPhos in pSTAT3-inhibited iTregs and augmented their suppressive potency. These findings support the rationale for clinically testing the safety and efficacy of metabolically tuned, human pSTAT3-inhibited iTregs to control alloreactive T cells."
308,32271280,Myocardial extracellular volume fraction (ECV) using cardiovascular magnetic resonance (CMR) can identify diffuse lesions not detected by late gadolinium enhancement (LGE). We aimed to determine the prevalence of increased ECV and its relation to other CMR findings.
309,32272176,"Folliculitis decalvans (FD) is a form of inflamed primary cicatricial alopecia (PCA). FD is classified as a neutrophilic PCA; however, only a few previous studies have described its histopathology, including the assessment of systematically evaluated and quantified follicular changes in horizontally sectioned biopsy specimens with clinical and dermoscopic findings of the early and advanced stages."
310,32273209,The aim of this study is to compare the relatively new CO
311,32273210,This paper aims to systematically review the application methods and clinical outcomes of transcutaneous electrical nerve stimulation (TENS) in the rehabilitation of dysphonic patients.
